source,dance_name,level,release_date,choreographer,music,stepsheet_url,scraped_at
BootStepper,For Choreographers,Intermediate,,Little Miss Rock-a-Round,,https://bootstepper.com/dances,2026-06-12T00:16:20.307074+00:00
BootStepper,Little Miss Rock-a-Round,Intermediate,,June 2026,,https://bootstepper.com/dances,2026-06-12T00:16:20.307074+00:00
BootStepper,1,Intermediate,,restarts,,https://bootstepper.com/dances,2026-06-12T00:16:20.307074+00:00
BootStepper,restarts,Intermediate,,5,,https://bootstepper.com/dances,2026-06-12T00:16:20.307074+00:00
BootStepper,5,Intermediate,,views,,https://bootstepper.com/dances,2026-06-12T00:16:20.307074+00:00
BootStepper,views,Intermediate,,1,,https://bootstepper.com/dances,2026-06-12T00:16:20.307074+00:00
BootStepper,1,Intermediate,,videos,,https://bootstepper.com/dances,2026-06-12T00:16:20.307074+00:00
BootStepper,videos,Intermediate,,Little Miss Rock-a-Round,,https://bootstepper.com/dances,2026-06-12T00:16:20.307074+00:00
BootStepper,Little Miss Rock-a-Round,Intermediate,,June 2026,,https://bootstepper.com/dances,2026-06-12T00:16:20.307074+00:00
BootStepper,videos,Improver,,Here We Go,,https://bootstepper.com/dances,2026-06-12T00:16:20.307074+00:00
