slug,normalized_title,dance_title,song_title,artist,choreographer,youtube_rank,youtube_video_id,youtube_title,youtube_channel,youtube_thumbnail,youtube_url,youtube_query
your-love-amazes-me,your-love-amazes-me,Your Love Amazes Me,Your Love Amazes Me,,Maggie Gallagher,1,OEzWa01uRxQ,Your Love Amazes Me line dance demo,Dancezing,https://i.ytimg.com/vi/OEzWa01uRxQ/hqdefault.jpg,https://www.youtube.com/watch?v=OEzWa01uRxQ,Your Love Amazes Me Your Love Amazes Me Maggie Gallagher line dance demo tutorial
your-love-amazes-me,your-love-amazes-me,Your Love Amazes Me,Your Love Amazes Me,,Maggie Gallagher,2,84vJthNyqqw,Your Love Amazes Me line dance tutorial,Dancezing,https://i.ytimg.com/vi/84vJthNyqqw/hqdefault.jpg,https://www.youtube.com/watch?v=84vJthNyqqw,Your Love Amazes Me Your Love Amazes Me Maggie Gallagher line dance demo tutorial
your-love-amazes-me,your-love-amazes-me,Your Love Amazes Me,Your Love Amazes Me,,Maggie Gallagher,3,Q8Bw3wQaTwU,[Tutorial] Your Love Amazes Me Line Dance Tutorial 유어 러브 어메이즈스 미 라인댄스 설명영상 l Linedancequeen ,Linedancequeen,https://i.ytimg.com/vi/Q8Bw3wQaTwU/hqdefault.jpg,https://www.youtube.com/watch?v=Q8Bw3wQaTwU,Your Love Amazes Me Your Love Amazes Me Maggie Gallagher line dance demo tutorial
your-love-amazes-me,your-love-amazes-me,Your Love Amazes Me,Your Love Amazes Me,,Maggie Gallagher,4,E3aDgctRp24,Your Love Amazes Me - LINE DANCE (DEMO),영케이라인댄스-YoungK Linedance,https://i.ytimg.com/vi/E3aDgctRp24/hqdefault.jpg,https://www.youtube.com/watch?v=E3aDgctRp24,Your Love Amazes Me Your Love Amazes Me Maggie Gallagher line dance demo tutorial
your-love-amazes-me,your-love-amazes-me,Your Love Amazes Me,Your Love Amazes Me,,Maggie Gallagher,5,NmoeZThguJ0,#Your Love Amazes Me #Linedance #Tutorial #설명영상 #초중급라인댄스 #유어 러브 어메이지즈 미 라인댄스 ,정은주 라인댄스 Eunju Jung Linedance,https://i.ytimg.com/vi/NmoeZThguJ0/hqdefault.jpg,https://www.youtube.com/watch?v=NmoeZThguJ0,Your Love Amazes Me Your Love Amazes Me Maggie Gallagher line dance demo tutorial
you-re-a-superstar,you-re-a-superstar,You're a Superstar,Superstar (feat. Boy George),,Gary O'Reilly,1,0QO9B6oKs0M,You&#39;re a Superstar - Line Dance (Dance &amp; Teach in English &amp; 中文),LineDanceDallas5,https://i.ytimg.com/vi/0QO9B6oKs0M/hqdefault.jpg,https://www.youtube.com/watch?v=0QO9B6oKs0M,You're a Superstar Superstar (feat. Boy George) Gary O'Reilly line dance demo tutorial
you-re-a-superstar,you-re-a-superstar,You're a Superstar,Superstar (feat. Boy George),,Gary O'Reilly,2,axAg3R-Gyjc,You&#39;re A Superstar [May 2026] by Gary O’Reilly &amp; Maggie Gallagher (Demo) #linedance #tutorial,Gary O’Reilly,https://i.ytimg.com/vi/axAg3R-Gyjc/hqdefault.jpg,https://www.youtube.com/watch?v=axAg3R-Gyjc,You're a Superstar Superstar (feat. Boy George) Gary O'Reilly line dance demo tutorial
you-re-a-superstar,you-re-a-superstar,You're a Superstar,Superstar (feat. Boy George),,Gary O'Reilly,3,DqDThvljV28,You&#39;re A Superstar line dance demo,Dancezing,https://i.ytimg.com/vi/DqDThvljV28/hqdefault.jpg,https://www.youtube.com/watch?v=DqDThvljV28,You're a Superstar Superstar (feat. Boy George) Gary O'Reilly line dance demo tutorial
you-re-a-superstar,you-re-a-superstar,You're a Superstar,Superstar (feat. Boy George),,Gary O'Reilly,4,Jea2lJK6uTY,[Tutorial] You&#39;re a Superstar Line Dance Tutorial l 유아 어 슈퍼스타 라인댄스 설명영상 l Beginner l Linedancequeen ,Linedancequeen,https://i.ytimg.com/vi/Jea2lJK6uTY/hqdefault.jpg,https://www.youtube.com/watch?v=Jea2lJK6uTY,You're a Superstar Superstar (feat. Boy George) Gary O'Reilly line dance demo tutorial
you-re-a-superstar,you-re-a-superstar,You're a Superstar,Superstar (feat. Boy George),,Gary O'Reilly,5,gXEHNmLFRrs,Tutorial | You&#39;re a Superstar linedance | (유어 러 슈퍼스타) 쉽게배우기 |Chany LineDance,Chany LineDance 차니라인댄스,https://i.ytimg.com/vi/gXEHNmLFRrs/hqdefault.jpg,https://www.youtube.com/watch?v=gXEHNmLFRrs,You're a Superstar Superstar (feat. Boy George) Gary O'Reilly line dance demo tutorial
alice-tribal-version,alice-tribal-version,Alice (Tribal Version),Alice (Tribal Version),,Raymond Sarlemijn,1,5psgHWb2swQ,Alice (Tribal Version) - Line Dance | Demo | Improver | Raymond | Roy | Jonas ,[Line Bank] Hyunjung Kang LineDance,https://i.ytimg.com/vi/5psgHWb2swQ/hqdefault.jpg,https://www.youtube.com/watch?v=5psgHWb2swQ,Alice (Tribal Version) Alice (Tribal Version) Raymond Sarlemijn line dance demo tutorial
