source,dance_name,choreographer,count,wall,level,music,stepsheet_url,scraped_at
CopperKnob,Sama Na Na (Football Anthem 2026),Adelaine Ade,32,4,Beginner,Sama Na Na - Marc Sic,https://www.copperknob.co.uk/stepsheets/8SPH545/sama-na-na-football-anthem-2026,2026-06-08T18:26:42.360443+00:00
CopperKnob,What an Awesome God,Heru Tian,32,2,Intermediate,What An Awesome God,https://www.copperknob.co.uk/stepsheets/J86B7LP/what-an-awesome-god,2026-06-08T18:26:44.013186+00:00
CopperKnob,Dos Fuegos Bachata,K.Y. Park,32,4,Beginner,Dos Fuegos (2026) Bachata - Romeo Santos x Shakira,https://www.copperknob.co.uk/stepsheets/YP7BJRT/dos-fuegos-bachata,2026-06-08T18:26:45.648179+00:00
CopperKnob,Don't Say You Love Me,Unknown - June 2026,48,1,Beginner,不要再我寂寞的时候说爱我 - Wanji Music,https://www.copperknob.co.uk/stepsheets/2WY9ZB5/dont-say-you-love-me,2026-06-08T18:26:47.277857+00:00
CopperKnob,Kalau Suka Bilang Suka,Dwi Prilyani,32,4,Beginner,KALO SUKA BILANG SUKA (feat. Niken Soge),https://www.copperknob.co.uk/stepsheets/DVLFSB4/kalau-suka-bilang-suka,2026-06-08T18:26:48.916573+00:00
CopperKnob,Siji,Helma Yoga,32,4,Beginner,SIJI PING SELAWE - lagu Jawa viral tiktok terbaru 2026 yang kalian cari!,https://www.copperknob.co.uk/stepsheets/QMC3F64/siji,2026-06-08T18:26:50.556178+00:00
CopperKnob,Old and Rusty EZ,Kate Damgaard,32,4,Absolute Beginner,Im old and Rusty,https://www.copperknob.co.uk/stepsheets/6B46DMC/old-and-rusty-ez,2026-06-08T18:26:52.198354+00:00
CopperKnob,Just Beat It,Fonna Queentarina,32,4,Beginner,"Beat It - Michael Jackson, Bachata Version",https://www.copperknob.co.uk/stepsheets/N3WHQDP/just-beat-it,2026-06-08T18:26:53.832542+00:00
CopperKnob,Sweep Me Off My Feet,Andrina K Faulds,64,2,Improver,Sweep Me Off My Feet,https://www.copperknob.co.uk/stepsheets/LT4LNM4/sweep-me-off-my-feet,2026-06-08T18:26:55.486917+00:00
CopperKnob,Texas Stomp EZ,Kate Damgaard,32,4,Absolute Beginner,Texas Stomp,https://www.copperknob.co.uk/stepsheets/62G9D8K/texas-stomp-ez,2026-06-08T18:26:57.105489+00:00
